"","wave","hid","HHCode","pid","MatchingIssue","DataMissing","SpeciesName","Abundance","Invasive","additional"
"1",2015,"687","541.16",NA,NA,NA,"Scleria sumatrensis",40,0,NA
"2",2015,"687","541.16",NA,NA,NA,"Clidemia hirta",65,1,NA
"3",2015,"687","541.16",NA,NA,NA,"Ottochlosa nodosa",465,0,NA
"4",2015,"687","541.16",NA,NA,NA,"MS: Rumput Coklat",24,0,NA
"5",2015,"687","541.16",NA,NA,NA,"Phylanthus urinaria",3,0,NA
"6",2015,"687","541.16",NA,NA,NA,"Batang Salung",22,0,NA
"7",2015,"687","541.16",NA,NA,NA,"Ubi racun/arang",4,0,NA
"8",2015,"687","541.16",NA,NA,NA,"Hevea brasiliensis",7,0,NA
"9",2015,"687","541.16",NA,NA,NA,"Stenochlaena palustris",7,0,NA
"10",2015,"687","541.16",NA,NA,NA,"Unident_4",1,0,NA
"11",2015,"687","541.16",NA,NA,NA,"Unident_5",1,0,NA
"12",2015,"687","541.16",NA,NA,NA,"Lindsaea ensifolia",1,0,NA
"13",2015,"687","541.16",NA,NA,NA,"Unident_6",12,0,NA
"14",2015,"687","541.16",NA,NA,NA,"Unident_1",3,0,NA
"15",2015,"687","541.16",NA,NA,NA,"Unident_2",1,0,NA
"16",2015,"687","541.16",NA,NA,NA,"Unident_3",1,0,NA
"17",2015,"681","541.1",NA,NA,NA,"Scleria sumatrensis",58,0,NA
"18",2015,"681","541.1",NA,NA,NA,"Clidemia hirta",249,1,NA
"19",2015,"681","541.1",NA,NA,NA,"Melastoma malabathricum",31,0,NA
"20",2015,"681","541.1",NA,NA,NA,"Hevea brasiliensis",8,0,NA
"21",2015,"681","541.1",NA,NA,NA,"Lindsaea ensifolia",20,0,NA
"22",2015,"681","541.1",NA,NA,NA,"Ottochlosa nodosa",73,0,NA
"23",2015,"681","541.1",NA,NA,NA,"MS: Paku Karat",19,0,NA
"24",2015,"681","541.1",NA,NA,NA,"Macaranga bancana",17,0,NA
"25",2015,"681","541.1",NA,NA,NA,"Unident_11",3,0,NA
"26",2015,"681","541.1",NA,NA,NA,"Unident_12",3,0,NA
"27",2015,"681","541.1",NA,NA,NA,"Unident_13",1,0,NA
"28",2015,"681","541.1",NA,NA,NA,"Unident_14",1,0,NA
"29",2015,"681","541.1",NA,NA,NA,"Unident_1",6,0,NA
"30",2015,"681","541.1",NA,NA,NA,"Unident_2",28,0,NA
"31",2015,"681","541.1",NA,NA,NA,"Unident_3",8,0,NA
"32",2015,"678","541.07",NA,NA,NA,"Taenitis blechnoides",10,0,NA
"33",2015,"678","541.07",NA,NA,NA,"Dicranopteris linearis",150,1,NA
"34",2015,"678","541.07",NA,NA,NA,"Hevea brasiliensis",3,0,NA
"35",2015,"678","541.07",NA,NA,NA,"Clidemia hirta",68,1,NA
"36",2015,"678","541.07",NA,NA,NA,"Stenochlaena palustris",24,0,NA
"37",2015,"678","541.07",NA,NA,NA,"Melastoma malabathricum",3,0,NA
"38",2015,"678","541.07",NA,NA,NA,"Scleria sumatrensis",13,0,NA
"39",2015,"678","541.07",NA,NA,NA,"Macaranga gigantea",1,0,NA
"40",2015,"678","541.07",NA,NA,NA,"Unident_20",4,0,NA
"41",2015,"678","541.07",NA,NA,NA,"Phylanthus urinaria",1,0,NA
"42",2015,"678","541.07",NA,NA,NA,"Unident_21",3,0,NA
"43",2015,"678","541.07",NA,NA,NA,"Unident_22",10,0,NA
"44",2015,"678","541.07",NA,NA,NA,"Unident_1",2,0,NA
"45",2015,"678","541.07",NA,NA,NA,"Unident_2",1,0,NA
"46",2015,"678","541.07",NA,NA,NA,"Unident_3",3,0,NA
"47",2015,"678","541.07",NA,NA,NA,"Unident_4",18,0,NA
"48",2015,"678","541.07",NA,NA,NA,"Unident_5",1,0,NA
"49",2015,"676","541.05",NA,NA,NA,"Dicranopteris linearis",24,1,NA
"50",2015,"676","541.05",NA,NA,NA,"Clidemia hirta",11,1,NA
"51",2015,"676","541.05",NA,NA,NA,"MS: Rumput Coklat",8,0,NA
"52",2015,"676","541.05",NA,NA,NA,"Scleria sumatrensis",24,0,NA
"53",2015,"676","541.05",NA,NA,NA,"Ottochlosa nodosa",2,0,NA
"54",2015,"676","541.05",NA,NA,NA,"Hevea brasiliensis",11,0,NA
"55",2015,"676","541.05",NA,NA,NA,"MS: Teki",3,0,NA
"56",2015,"676","541.05",NA,NA,NA,"MS: Aktonia",1,0,NA
"57",2015,"676","541.05",NA,NA,NA,"MS: Kaca Kacang",2,0,NA
"58",2015,"676","541.05",NA,NA,NA,"Imperata cylindrica",4,0,NA
"59",2015,"676","541.05",NA,NA,NA,"Batang Salung",1,0,NA
"60",2015,"676","541.05",NA,NA,NA,"Melastoma malabathricum",2,0,NA
"61",2015,"676","541.05",NA,NA,NA,"Macaranga gigantica",1,0,NA
"62",2015,"676","541.05",NA,NA,NA,"LN: Batang Merah",1,0,NA
"63",2015,"676","541.05",NA,NA,NA,"MS: Mirip Karet",1,0,NA
"64",2015,"676","541.05",NA,NA,NA,"Unident_1",1,0,NA
"65",2015,"676","541.05",NA,NA,NA,"Unident_2",1,0,NA
"66",2015,"675","541.04",NA,NA,NA,"Panicum repens",2,0,NA
"67",2015,"675","541.04",NA,NA,NA,"Clidemia hirta",212,1,NA
"68",2015,"675","541.04",NA,NA,NA,"Imperata cylindrica",37,0,NA
"69",2015,"675","541.04",NA,NA,NA,"MS: Rumput Coklat",46,0,NA
"70",2015,"675","541.04",NA,NA,NA,"Scleria sumatrensis",11,0,NA
"71",2015,"675","541.04",NA,NA,NA,"Melastoma malabathricum",31,0,NA
"72",2015,"675","541.04",NA,NA,NA,"Dicranopteris linearis",3,1,NA
"73",2015,"675","541.04",NA,NA,NA,"Hevea brasiliensis",4,0,NA
"74",2015,"675","541.04",NA,NA,NA,"Macaranga bancana",7,0,NA
"75",2015,"675","541.04",NA,NA,NA,"Alstonia scholaris",1,0,NA
"76",2015,"675","541.04",NA,NA,NA,"Ottochlosa nodosa",62,0,NA
"77",2015,"675","541.04",NA,NA,NA,"Lygodium circinatum",1,0,NA
"78",2015,"675","541.04",NA,NA,NA,"Lindsaea ensifolia",4,0,NA
"79",2015,"675","541.04",NA,NA,NA,"Unident_26",1,0,NA
"80",2015,"675","541.04",NA,NA,NA,"Unident_27",3,0,NA
"81",2015,"675","541.04",NA,NA,NA,"Imperata silindrica",7,0,NA
"82",2015,"675","541.04",NA,NA,NA,"Unident_1",11,0,NA
"83",2015,"672","541.01",NA,NA,NA,"Imperata cylindrica",58,0,NA
"84",2015,"672","541.01",NA,NA,NA,"Scleria sumatrensis",29,0,NA
"85",2015,"672","541.01",NA,NA,NA,"Clidemia hirta",47,1,NA
"86",2015,"672","541.01",NA,NA,NA,"Ottochlosa nodosa",50,0,NA
"87",2015,"672","541.01",NA,NA,NA,"Borreria latifolia",2,0,NA
"88",2015,"672","541.01",NA,NA,NA,"Stenochlaena palustris",3,0,NA
"89",2015,"672","541.01",NA,NA,NA,"Paspalum conjugatum",17,0,NA
"90",2015,"672","541.01",NA,NA,NA,"Hevea brasiliensis",3,0,NA
"91",2015,"672","541.01",NA,NA,NA,"Lygodium microphyllum",30,0,NA
"92",2015,"672","541.01",NA,NA,NA,"Melastoma malabathricum",3,0,NA
"93",2015,"672","541.01",NA,NA,NA,"MS: Rumput Coklat",5,0,NA
"94",2015,"672","541.01",NA,NA,NA,"Macaranga gigantea",1,0,NA
"95",2015,"672","541.01",NA,NA,NA,"Lantana camara",1,0,NA
"96",2015,"672","541.01",NA,NA,NA,"Phylanthus urinaria",1,0,NA
"97",2015,"672","541.01",NA,NA,NA,"Unident_30",1,0,NA
"98",2015,"672","541.01",NA,NA,NA,"Unident_31",23,0,NA
"99",2015,"672","541.01",NA,NA,NA,"Unident_32",14,0,NA
"100",2015,"672","541.01",NA,NA,NA,"Alstonia scholaris",1,0,NA
"101",2015,"672","541.01",NA,NA,NA,"Unident_1",33,0,NA
"102",2015,"672","541.01",NA,NA,NA,"Unident_2",1,0,NA
"103",2015,"670","532.17",NA,NA,NA,"Clidemia hirta",117,1,NA
"104",2015,"670","532.17",NA,NA,NA,"Paspalum conjugatum",156,0,NA
"105",2015,"670","532.17",NA,NA,NA,"Melastoma malabathricum",120,0,NA
"106",2015,"670","532.17",NA,NA,NA,"Dicranopteris linearis",21,1,NA
"107",2015,"670","532.17",NA,NA,NA,"Lycopodiella cernua",4,0,NA
"108",2015,"670","532.17",NA,NA,NA,"Taenitis blechnoides",28,0,NA
"109",2015,"670","532.17",NA,NA,NA,"Scleria ciliaris",5,0,NA
"110",2015,"670","532.17",NA,NA,NA,"Ottochlosa nodosa",239,0,NA
"111",2015,"670","532.17",NA,NA,NA,"Oxalis barrelieri",1,0,NA
"112",2015,"670","532.17",NA,NA,NA,"Lygodium microphyllum",7,0,NA
"113",2015,"670","532.17",NA,NA,NA,"Macaranga recurvata",3,0,NA
"114",2015,"670","532.17",NA,NA,NA,"Unident_36",1,0,NA
"115",2015,"670","532.17",NA,NA,NA,"Unident_37",7,0,NA
"116",2015,"670","532.17",NA,NA,NA,"Lygodium circinatum",1,0,NA
"117",2015,"670","532.17",NA,NA,NA,"Unident_38",1,0,NA
"118",2015,"670","532.17",NA,NA,NA,"Hevea brasiliensis",2,0,NA
"119",2015,"670","532.17",NA,NA,NA,"MS: Paku merambat",2,0,NA
"120",2015,"670","532.17",NA,NA,NA,"Unident_1",3,0,NA
"121",2015,"670","532.17",NA,NA,NA,"Unident_2",2,0,NA
"122",2015,"670","532.17",NA,NA,NA,"Unident_3",1,0,NA
